dataset,method,flip,shortlist_n,md_recall_at_n,full_top1,full_top5,opp_top1,md_top1
ReunionGreen,MD→XFeat N=5,False,5,0.83,0.30000000000000016,0.8300000000000006,0.16000000000000006,0.6200000000000004
ReunionGreen,MD→XFeat N=10,False,10,0.885,0.2600000000000001,0.7150000000000005,0.045,0.6200000000000004
ReunionGreen,MD→XFeat N=15,False,15,0.91,0.27000000000000013,0.5950000000000004,0.025,0.6200000000000004
ReunionGreen,MD→XFeat N=20,False,20,0.935,0.27500000000000013,0.5300000000000004,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=30,False,30,0.955,0.29000000000000015,0.49500000000000033,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=40,False,40,0.97,0.28500000000000014,0.4700000000000003,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=50,False,50,0.98,0.30000000000000016,0.4900000000000003,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=75,False,75,0.99,0.3250000000000002,0.5250000000000004,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=100,False,100,0.995,0.3450000000000002,0.5650000000000004,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=5,True,5,0.83,0.7350000000000005,0.8400000000000006,0.7350000000000005,0.6300000000000004
ReunionGreen,MD→XFeat N=10,True,10,0.88,0.7550000000000006,0.8550000000000006,0.7550000000000006,0.6300000000000004
ReunionGreen,MD→XFeat N=15,True,15,0.905,0.7550000000000006,0.8600000000000007,0.7550000000000006,0.6300000000000004
ReunionGreen,MD→XFeat N=20,True,20,0.93,0.7500000000000006,0.8900000000000007,0.7500000000000006,0.6300000000000004
ReunionGreen,MD→XFeat N=30,True,30,0.95,0.7650000000000006,0.9050000000000007,0.7650000000000006,0.6300000000000004
ReunionGreen,MD→XFeat N=40,True,40,0.98,0.7650000000000006,0.9200000000000007,0.7650000000000006,0.6300000000000004
ReunionGreen,MD→XFeat N=50,True,50,0.985,0.7550000000000006,0.9250000000000007,0.7550000000000006,0.6300000000000004
ReunionGreen,MD→XFeat N=75,True,75,0.99,0.7600000000000006,0.9100000000000007,0.7600000000000006,0.6300000000000004
ReunionGreen,MD→XFeat N=100,True,100,1.0,0.7700000000000006,0.9150000000000007,0.7700000000000006,0.6300000000000004
